"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"factor(dist2plot$clone_type)                        ",1,0.50037094764255,0.50037094764255,4.71875366379667,0.0304433866581778
"factor(dist2plot$group)                             ",1,0.11016701601286,0.11016701601286,1.03893124268997,0.30870858134428
"factor(dist2plot$clone_type):factor(dist2plot$group)",1,0.433865981328204,0.433865981328204,4.09157785565868,0.0437863723490364
"Residuals                                           ",386,40.9309744799483,0.106038793989503,NA,NA
