"","idx","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age","batch","cloneType","counts"
"26",26,"D8","Batch 3","Asym",35,"D9","Batch 2","Prolif",20,"D10","Batch 3","Asym",34,"D11","Batch 3","Prolif",32,"D12","Batch 2","Prolif",9,"D13","Batch 2","Prolif",30,"D15","Batch 2","Small",3
"27",27,"D8","Batch 4","Asym",7,"D9","Batch 2","Prolif",35,"D10","Batch 3","Asym",8,"D11","Batch 3","Prolif",9,"D12","Batch 2","Prolif",51,"D13","Batch 2","Prolif",17,"D15","Batch 2","Small",2
"28",28,"D8","Batch 4","Asym",6,"D9","Batch 2","Prolif",28,"D10","Batch 3","Asym",11,"D11","Batch 3","Prolif",31,"D12","Batch 2","Prolif",34,"D13","Batch 2","Prolif",18,"D15","Batch 2","Small",2
"29",29,"D8","Batch 4","Asym",15,"D9","Batch 2","Prolif",10,"D10","Batch 3","Asym",25,"D11","Batch 3","Prolif",36,"D12","Batch 2","Prolif",17,"D13","Batch 2","Prolif",8,"D15","Batch 2","Small",2
"30",30,"D8","Batch 4","Asym",9,"D9","Batch 3","Prolif",11,"D10","Batch 3","Asym",31,"D11","Batch 3","Prolif",19,"D12","Batch 2","Prolif",38,"D13","Batch 2","Prolif",12,"D15","Batch 2","Small",2
"31",31,"D8","Batch 4","Asym",9,"D9","Batch 3","Prolif",103,"D10","Batch 3","Asym",12,"D11","Batch 3","Prolif",8,"D12","Batch 3","Prolif",37,"D13","Batch 3","Prolif",8,"D15","Batch 2","Small",6
"32",32,"D8","Batch 4","Asym",23,"D9","Batch 3","Prolif",113,"D10","Batch 1","Prolif",72,"D11","Batch 3","Prolif",73,"D12","Batch 3","Prolif",37,"D13","Batch 3","Prolif",11,"D15","Batch 3","Small",2
"33",33,"D8","Batch 1","Prolif",25,"D9","Batch 3","Prolif",35,"D10","Batch 1","Prolif",106,"D11","Batch 1","Small",2,"D12","Batch 3","Prolif",16,"D13","Batch 3","Prolif",8,"D15","Batch 3","Small",5
"34",34,"D8","Batch 1","Prolif",15,"D9","Batch 3","Prolif",42,"D10","Batch 1","Prolif",68,"D11","Batch 1","Small",3,"D12","Batch 3","Prolif",11,"D13","Batch 1","Small",3,"D15","Batch 3","Small",4
"35",35,"D8","Batch 1","Prolif",54,"D9","Batch 3","Prolif",21,"D10","Batch 1","Prolif",13,"D11","Batch 1","Small",2,"D12","Batch 1","Small",2,"D13","Batch 1","Small",2,"D15","Batch 3","Small",3
"36",36,"D8","Batch 1","Prolif",10,"D9","Batch 1","Small",4,"D10","Batch 1","Prolif",22,"D11","Batch 1","Small",2,"D12","Batch 1","Small",2,"D13","Batch 1","Small",3,"D15","Batch 3","Small",2
"37",37,"D8","Batch 1","Prolif",11,"D9","Batch 2","Small",5,"D10","Batch 1","Prolif",27,"D11","Batch 1","Small",2,"D12","Batch 1","Small",2,"D13","Batch 1","Small",2,"D15","Batch 3","Small",3
"38",38,"D8","Batch 1","Prolif",31,"D9","Batch 2","Small",2,"D10","Batch 1","Prolif",91,"D11","Batch 1","Small",3,"D12","Batch 1","Small",2,"D13","Batch 1","Small",3,"D15","Batch 3","Small",4
"39",39,"D8","Batch 1","Prolif",32,"D9","Batch 2","Small",6,"D10","Batch 1","Prolif",47,"D11","Batch 2","Small",4,"D12","Batch 1","Small",2,"D13","Batch 1","Small",5,"D15","Batch 3","Small",2
"40",40,"D8","Batch 1","Prolif",33,"D9","Batch 2","Small",4,"D10","Batch 1","Prolif",14,"D11","Batch 2","Small",3,"D12","Batch 1","Small",4,"D13","Batch 1","Small",3,"D15","Batch 3","Small",5
"41",41,"D8","Batch 1","Prolif",13,"D9","Batch 2","Small",4,"D10","Batch 1","Prolif",30,"D11","Batch 2","Small",4,"D12","Batch 1","Small",2,"D13","Batch 1","Small",3,NA,NA,NA,NA
"42",42,"D8","Batch 1","Prolif",14,"D9","Batch 2","Small",3,"D10","Batch 1","Prolif",21,"D11","Batch 2","Small",3,"D12","Batch 1","Small",5,"D13","Batch 1","Small",2,NA,NA,NA,NA
