"","diff","lwr","upr","p adj"
"D9:Batch 3-D10:Batch 2",20.2619047619047,-23.2323984243267,63.7562079481361,0.988261710657045
"D12:Batch 2-D8:Batch 2",-19.5625,-64.5416756667427,25.4166756667427,0.995103502449914
"D8:Batch 2-D11:Batch 1",22.5625,-29.9618611487223,75.0868611487222,0.995850545674935
"D13:Batch 3-D10:Batch 2",-24.9047619047619,-82.8971661530705,33.0876423435467,0.995865309131541
"D9:Batch 3-D8:Batch 3",-21.4583333333334,-72.2016870506034,29.2850203839366,0.996645057469134
"D9:Batch 3-D11:Batch 1",25.1666666666666,-35.4832414297893,85.8165747631224,0.997416713962817
"D13:Batch 3-D8:Batch 1",-23.6956521739131,-81.3720191688352,33.9807148210091,0.997753199872804
"D11:Batch 2-D8:Batch 2",-17.4196428571429,-59.9981739409355,25.1588882266498,0.997882392880027
"D9:Batch 3-D12:Batch 2",22.1666666666666,-32.0802602664495,76.4135935997827,0.997918199189706
"D11:Batch 1-D10:Batch 1",-21.9999999999999,-76.246926933116,32.2469269331161,0.998129958959315
"D10:Batch 2-D12:Batch 1",16.6190476190476,-24.3877746822429,57.6258699203382,0.99814815275844
"D12:Batch 2-D10:Batch 1",-19,-65.9792168013167,27.9792168013168,0.998202318739531
"D10:Batch 2-D13:Batch 1",18.7047619047619,-28.0502091445769,65.4597329541006,0.998462586679439
"D13:Batch 3-D11:Batch 2",-25.1428571428571,-89.9803361817899,39.6946218960757,0.999026626939898
"D9:Batch 3-D11:Batch 2",20.0238095238095,-32.2498372523686,72.2974562999875,0.999189686940057
"D12:Batch 1-D8:Batch 1",-15.4099378881988,-55.9685847404216,25.148708964024,0.999283616939674
"D13:Batch 1-D8:Batch 1",-17.495652173913,-63.858047248566,28.86674290074,0.999353892555368
"D11:Batch 2-D10:Batch 1",-16.8571428571428,-61.5432914589067,27.829005744621,0.999357355071598
"D13:Batch 2-D10:Batch 2",-16.9047619047619,-63.6597329541006,29.8502091445769,0.999667074659101
"D13:Batch 3-D12:Batch 2",-23,-89.4386455500882,43.4386455500882,0.999834025530821
"D11:Batch 2-D13:Batch 1",18.9428571428571,-36.0735681813069,73.9592824670211,0.999848060421613
"D13:Batch 2-D8:Batch 1",-15.6956521739131,-62.0580472485661,30.6667429007399,0.999884890838738
"D13:Batch 3-D10:Batch 3",-20.3076923076923,-80.4892543365226,39.873869721138,0.999890935005518
"D11:Batch 2-D12:Batch 1",16.8571428571428,-33.365752448429,67.0800381627147,0.999900162965177
"D8:Batch 3-D9:Batch 1",16.6250000000001,-34.1183537172699,67.3683537172701,0.999933400523003
"D13:Batch 3-D11:Batch 3",-20.7142857142857,-85.5517647532185,44.123193324647,0.999956603867121
"D13:Batch 2-D11:Batch 2",-17.1428571428571,-72.1592824670211,37.8735681813069,0.999971808704459
"D12:Batch 2-D13:Batch 1",16.8,-40.0946569534919,73.6946569534918,0.999989082733886
"D10:Batch 3-D13:Batch 1",14.1076923076923,-35.3365062959378,63.5518909113224,0.999994121098471
"D12:Batch 2-D12:Batch 1",14.7142857142857,-37.5593610618923,66.9879324904638,0.999995409139592
"D13:Batch 3-D11:Batch 1",-20,-91.7619390272585,51.7619390272584,0.99999617522396
"D10:Batch 3-D12:Batch 1",12.021978021978,-32.0264150585911,56.0703711025472,0.999997402003512
"D11:Batch 3-D13:Batch 1",14.5142857142857,-40.5021396098783,69.5307110384497,0.999998622769614
"D13:Batch 2-D12:Batch 2",-15,-71.8946569534918,41.8946569534918,0.999998639595933
"D8:Batch 4-D13:Batch 3",17.5,-48.9386455500882,83.9386455500882,0.999998663137967
"D13:Batch 3-D9:Batch 2",-16.1250000000001,-79.7351602522695,47.4851602522694,0.999999354099843
"D10:Batch 3-D13:Batch 2",12.3076923076923,-37.1365062959378,61.7518909113224,0.999999544609924
"D11:Batch 3-D12:Batch 1",12.4285714285714,-37.7943238770004,62.6514667341433,0.999999593173252
"D11:Batch 3-D13:Batch 2",12.7142857142857,-42.3021396098783,67.7307110384497,0.999999892966931
"D13:Batch 3-D12:Batch 3",-16.25,-88.0119390272584,55.5119390272584,0.999999928455839
"D10:Batch 2-D9:Batch 2",8.77976190476185,-30.2575699001268,47.8170937096505,0.999999937507404
"D13:Batch 1-D11:Batch 1",-13.8,-76.8292333784667,49.2292333784667,0.99999996344764
"D12:Batch 1-D11:Batch 1",-11.7142857142857,-70.6058506255898,47.1772791970183,0.99999999478526
"D8:Batch 4-D13:Batch 1",11.3,-45.5946569534918,68.1946569534918,0.99999999494446
"D9:Batch 2-D8:Batch 1",-7.57065217391301,-46.1369280335118,30.9956236856858,0.999999996025586
"D13:Batch 2-D11:Batch 1",-12,-75.0292333784668,51.0292333784667,0.999999997887589
"D11:Batch 2-D9:Batch 2",9.01785714285707,-39.6102521363425,57.6459664220567,0.999999998777195
